TICKER,CUR_MKT_CAP,TRADE_DATE
AGR,3493.17017,2025-07-08
CLX,1489.52,2025-07-08
DXS,5599.92721,2025-07-08
HU1,60.0,2025-07-08
HUB,488.42248,2025-07-08
KOS,8323.70733,2025-07-08
LHC,1064.16,2025-07-08
SZG,1844.5728000000001,2025-07-08
TCB,249389.26638999998,2025-07-08
VAV,1792.0,2025-07-08
AAS,2069.9956899999997,2025-07-08
BBC,1078.2795,2025-07-08
BCC,973.35751,2025-07-08
BHA,1749.0,2025-07-08
BMJ,1091.9997700000001,2025-07-08
C4G,3001.32633,2025-07-08
IDV,1101.02195,2025-07-08
QCG,3356.57552,2025-07-08
SKH,871.2,2025-07-08
TNG,2611.40569,2025-07-08
VGC,20153.3325,2025-07-08
RYG,540.0,2025-07-08
ASM,2809.65292,2025-07-08
CLW,528.45,2025-07-08
DSC,3103.30971,2025-07-08
FIC,1638.3,2025-07-08
FIT,1550.0946399999998,2025-07-08
GSP,794.86148,2025-07-08
SCS,6357.42779,2025-07-08
SSH,33375.0,2025-07-08
TDG,79.17058999999999,2025-07-08
DDV,4193.35413,2025-07-08
HDB,82133.9272,2025-07-08
LGC,11725.569710000002,2025-07-08
LPB,100671.40677,2025-07-08
PGC,835.6990999999999,2025-07-08
SMA,207.59893,2025-07-08
TDC,1431.315,2025-07-08
VDP,821.5021800000001,2025-07-08
AST,2965.5,2025-07-08
HBC,2534.6568700000003,2025-07-08
HCD,283.84371000000004,2025-07-08
HTV,117.936,2025-07-08
LAF,285.52536,2025-07-08
PPH,2113.18622,2025-07-08
PVI,13351.78642,2025-07-08
S99,763.33435,2025-07-08
SEB,1487.99856,2025-07-08
TDP,2858.4009,2025-07-08
TNC,571.725,2025-07-08
VDS,3996.135,2025-07-08
ABW,829.43,2025-07-08
BKG,208.38225,2025-07-08
HVN,84146.97861,2025-07-08
MCP,565.35096,2025-07-08
NHH,1136.928,2025-07-08
OCB,30452.496039999998,2025-07-08
RDP,63.79074,2025-07-08
SZC,6767.46845,2025-07-08
VPB,155504.90258000002,2025-07-08
DHM,227.2449,2025-07-08
EVE,453.38155,2025-07-08
FUC,,2025-07-08
GMC,141.68929999999997,2025-07-08
KDH,30637.61972,2025-07-08
LSS,810.25834,2025-07-08
NCG,1173.88639,2025-07-08
NS2,908.8,2025-07-08
PMW,1924.99353,2025-07-08
POS,752.0,2025-07-08
SPM,145.962,2025-07-08
VCS,7904.0,2025-07-08
VNE,403.71175,2025-07-08
ACG,5443.44485,2025-07-08
ACV,206374.90133000002,2025-07-08
ASP,197.89957,2025-07-08
CSC,868.24947,2025-07-08
CTF,2085.25413,2025-07-08
DAT,510.90515999999997,2025-07-08
DNH,15459.84,2025-07-08
DRC,2589.67879,2025-07-08
FUE,365.007,2025-07-08
MVN,71915.2212,2025-07-08
NCT,2867.7642299999998,2025-07-08
NHT,252.03883,2025-07-08
SCG,5567.5,2025-07-08
SII,987.18819,2025-07-08
CTS,6029.858969999999,2025-07-08
DBC,11629.752789999999,2025-07-08
DHA,646.4746,2025-07-08
GKM,141.45407,2025-07-08
HTG,1566.1178,2025-07-08
HTN,917.89903,2025-07-08
MCM,3107.5,2025-07-08
PBC,781.76932,2025-07-08
SSI,53339.14977,2025-07-08
SZB,1251.0,2025-07-08
TMT,433.31627000000003,2025-07-08
VPS,222.59321,2025-07-08
YBM,203.05829999999997,2025-07-08
DRH,379.78315000000003,2025-07-08
FOC,1230.44825,2025-07-08
GDT,534.1247900000001,2025-07-08
PTC,186.71142,2025-07-08
TVC,1050.8013700000001,2025-07-08
VC3,3566.80176,2025-07-08
VNM,123307.37126,2025-07-08
BAF,10260.73042,2025-07-08
EVG,1341.00648,2025-07-08
LBM,1244.0,2025-07-08
RAL,2300.58284,2025-07-08
SJG,8451.29771,2025-07-08
STG,3782.75424,2025-07-08
SVD,94.68826,2025-07-08
VLC,3251.12165,2025-07-08
DSE,8157.6,2025-07-08
FUE,,2025-07-08
ITA,2158.13962,2025-07-08
ITD,341.23657000000003,2025-07-08
KHG,2966.27235,2025-07-08
KPF,73.64936,2025-07-08
ORS,3215.51754,2025-07-08
PRT,3060.0,2025-07-08
PVP,1628.1285,2025-07-08
SAM,2560.93694,2025-07-08
TEG,769.5378000000001,2025-07-08
VCB,492984.83055,2025-07-08
BHN,8367.98,2025-07-08
BID,263301.07188999996,2025-07-08
BVB,8715.152,2025-07-08
FOX,46837.6215,2025-07-08
LTG,735.41269,2025-07-08
MCH,127540.81634,2025-07-08
PMG,359.10615,2025-07-08
SBH,5677.0825,2025-07-08
SGB,4370.50892,2025-07-08
TTA,1811.11337,2025-07-08
VIP,869.5809499999999,2025-07-08
VPI,16802.60279,2025-07-08
VSI,245.51994,2025-07-08
CLC,1309.06877,2025-07-08
COM,430.67915000000005,2025-07-08
CTR,11827.499890000001,2025-07-08
DAH,282.07,2025-07-08
DHB,2504.24,2025-07-08
DP3,1139.4964499999999,2025-07-08
DXG,17524.80805,2025-07-08
IFS,2222.09509,2025-07-08
TCI,973.5285200000001,2025-07-08
TDM,6226.0,2025-07-08
TIX,1083.0,2025-07-08
TYA,443.33441,2025-07-08
AGP,1131.14889,2025-07-08
AVC,4165.38889,2025-07-08
BFC,2709.76287,2025-07-08
BSR,56584.11799,2025-07-08
D2D,1053.03902,2025-07-08
GTA,95.351,2025-07-08
GVR,120000.0,2025-07-08
HPI,1320.0,2025-07-08
JVC,594.0009,2025-07-08
MIE,965.5422,2025-07-08
NVL,30616.64125,2025-07-08
SKV,690.0,2025-07-08
VTO,1010.31332,2025-07-08
BSA,1544.25752,2025-07-08
DPG,4515.79663,2025-07-08
HDG,9545.0463,2025-07-08
HQC,2069.9913899999997,2025-07-08
L10,217.338,2025-07-08
MWG,99362.52803,2025-07-08
SBV,239.90451000000002,2025-07-08
